Period,Stage,Ichnogenera,Feeding_behavior,Bioturbation_behavior,Stratigraphic_unit,Source,Source_doi
Ediacaran,Nama,Bergaueria,Suspension feeder,Bioirrigation,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,,Streptichnus,Specialized deposit feeder,Bioirrigation,"Cíjara Formation, Domo Extremeño Group, Valdelacasa anticline, Toledo Mountains, Spain",,
Ediacaran,Nama,Conichnus,Suspension feeder,Bioirrigation,"Feldschuhorn Member, Urusis, Nama Group",,
Ediacaran,Vendian,Bergaueria,Suspension feeder,Bioirrigation,"Fermeuse Formation, Avalon Peninsula, Canada",,
Ediacaran,Nama,Conichnus,Suspension feeder,Bioirrigation,"Huns Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Nama,Streptichnus,Specialized deposit feeder,Bioirrigation,"Huns Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 1, Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 2 (below the GSSP boundary), Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,Nama,Streptichnus,Specialized deposit feeder,Bioirrigation,"Spitskop Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Vendian,Bergaueria,Suspension feeder,Bioirrigation,"Verkhovka formation, White Sea, Russia",,
Ediacaran,,Bergaueria,Suspension feeder,Bioirrigation,"Zigan Formation, Asha Group, Russia",,
Ediacaran,Nama,Arenicolites,Suspension feeder / predator,Bioirrigation,"Zuun-Arts Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Arondegas Formation, Western and Northern Cape Provinces, South Africa",,
Ediacaran,Vendian,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Basa Formation, Asha Group, South Urals, Russia",,
Ediacaran,Vendian,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Basa Formation, Asha Group, South Urals, Russia",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Palaeophycus,Suspension feeder/predator,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Bom Jardim Alogroup, Rio Grande do Sul, Brazil",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Brzegi Shale Formation, Rzeszów Group, Holy Cross Mountains, southern Poland",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Cíjara Formation, Domo Extremeño Group, Valdelacasa anticline, Toledo Mountains, Spain",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Dabis Formation, Kuibis Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Deschilling Formation, Pele La Group, Tang chu – Wachi La area, Bhutan",,
Ediacaran,Vendian,Gordia,Non-specialized deposit feeder,Biomixing,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,Vendian,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,Vendian,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Elkera Formation, Georgina Basin, central Australia",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Estenilla Formation, Domo Extremeño Group, Valdelacasa anticline, Toledo Mountains, Spain",,
Ediacaran,NA ,Circulichnus,Non-specialized deposit feeder,Biomixing,"Floyd Church Formation, Carolina Slate Belt, NC",,
Ediacaran,NA ,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Floyd Church Formation, Carolina Slate Belt, North Carolina",,
Ediacaran,NA ,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Floyd Church Formation, Carolina Slate Belt, North Carolina",,
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Fowlers Gap Formation, Farnell Group, Barrier Range, southeast Australia",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Fowlers Gap Formation, Farnell Group, Barrier Range, southeast Australia",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Ganabos Formation, Western and Northern Cape Provinces, South Africa",,
Ediacaran,Nama,Palaeophycus,Suspension feeder/predator,Biomixing,"Gaojiashan Member, Dengying Formation, southern Shaanxi Province, Yangtze Platform, China",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Hoedberg Formation, Western and Northern Cape Provinces, South Africa",,
Ediacaran,Nama,Multina,Non-specialized deposit feeder/predator,Biomixing,"Huns Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Ingta Formation (Simple Sequences 1-4), Mackenzie Mountains, Northwest Territories, Canada",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Kanilov Formation, Podolian Dniester region, Ukraine",,
Ediacaran,Nama,Nenoxites,Non-specialized deposit feeder/predator,Biomixing,"Khatyspyt Formation, Olenek Uplift and Lena-Anabar Basin, Russia",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Lower (Dunfee) Member, Deep Spring Formation, Mount Duffee and White-Inyo Mountains, California, United States",,
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lower (Dunfee) Member, Deep Spring Formation, Mount Duffee and White-Inyo Mountains, California, United States",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Lower interval, Maneting Formation, Pele La Group, Tang chu – Wachi La area, Bhutan",,
Ediacaran,,Lamonte,Specialized deposit feeder,Biomixing,"lower Member, Wood Canyon Formation, California and Nevada, USA",O'Neil et al. (2020),https://doi.org/10.1016/j.precamres.2020.105768
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lublin Formation, Southern Lublin region, southeastern Poland",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Lublin Formation, Southern Lublin region, southeastern Poland",,
Ediacaran,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Lublin Formation, Southern Lublin region, southeastern Poland",,
Ediacaran,Vendian,Nenoxites,Non-specialized deposit feeder/predator,Biomixing,"Lyamtsa (= Lamtsa) Formation, White Sea, Russia",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Member 1, Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Member 1, Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Member 2 (below the GSSP boundary), Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Member 2 (below the GSSP boundary), Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Member II, Stáhpogieddi Formation, Vestertana Group, Halkkavarre, Porsangerpjord, Finnmark, northern Norway",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Middle to upper interval, Sete Lagoas Formation, Bambui Group, Minas Gerais State, Brazil",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Nasep Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Nama,Palaeophycus,Suspension feeder/predator,Biomixing,"Nasep Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Nama,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Nasep Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Planolites,Non-specialized deposit feeder,Biomixing,"Parasequence 2, Lower Wood Canyon Formation, Death Valley, USA",Corsetti & Hagadorn (2000) ,https://doi.org/10.1130/0091-7613(2000)28<299:PTDVUS>2.0.CO;2
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Parasequences 1-2, Lower Member, Wood Canyon Formation, California and Nevada, United States",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Platonovskaya Formation, Turukhansk Uplift, Russia",,
Ediacaran,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Saviñan Formation, Paracuellos Group, Iberian Chains, Spain",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Second Cycle, Manndrappereleva Member, Stáhpogieddi Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Serra dos Lanceiros Aloformation, Santa Bárbara Alogroup, Rio Grande do Sul, Brazil",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Serra dos Lanceiros Aloformation, Santa Bárbara Alogroup, Rio Grande do Sul, Brazil",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Shibantan Member, Dengying Formation, Yangtze Gorge, southern Hubei Province, Yangtze Platform, China",,
Ediacaran,,Lamonte,Specialized deposit feeder,Biomixing,"Shibantan Member, Dengying Formation, Yangtze Gorge, southern Hubei Province, Yangtze Platform, China",Meyer et al. (2013),https://doi.org/10.1016/j.palaeo.2013.12.026
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Shibantan Member, Dengying Formation, Yangtze Gorge, southern Hubei Province, Yangtze Platform, China",,
Ediacaran,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Shibantan Member, Dengying Formation, Yangtze Gorge, southern Hubei Province, Yangtze Platform, China",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Siltstone unit 1, Wernecke Mountains, Yukon",,
Ediacaran,Nama,Parapsammichnites,Specialized deposit feeder,Biomixing,"Spitskop Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Stelkuz Formation (below disconformity), Cassiar Mountains, British Columbia, Canada",,
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Stelkuz Formation (below disconformity), Cassiar Mountains, British Columbia, Canada",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Stelkuz Formation (below disconformity), Cassiar Mountains, British Columbia, Canada",,
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Tillery Formation, Carolina Slate Belt, North Carolina",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Upper Miette Unit, Rocky Mountains, British Columbia, Canada",,
Ediacaran,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Upper Miette Unit, Rocky Mountains, British Columbia, Canada",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Upper Miette Unit, Rocky Mountains, British Columbia, Canada",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Uppermost Asha Group, South Urals, Russia",,
Ediacaran,Vendian,Nenoxites,Non-specialized deposit feeder/predator,Biomixing,"Verkhovka Formation, White Sea, Russia",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Vingerbreek Member, Nudaus Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,NA ,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Wyman Formation, White-Inyo Mountains, California, United States",,
Ediacaran,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Xiaowaitoushan Member, Dengying Formation, eastern Yunnan Province, Yangtze Platform, China",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Zaris Formation, Kuibis Subgroup, Nama Group, southern Namibia",,
Ediacaran,Vendian,Nenoxites,Non-specialized deposit feeder/predator,Biomixing,"Zimnie Gory Formation, White Sea, Russia",,
Ediacaran,Vendian,Palaeophycus,Suspension feeder/predator,Biomixing,"Zimnie Gory Formation, White Sea, Russia",,
Ediacaran,Nama,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Vendian,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,Vendian,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Erga Formation, White Sea, Russia",,
Ediacaran,,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Mogilev Formation, Ukrain",,
Ediacaran,,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Tagayita Guazu Formation, Paraguay",,
Ediacaran,,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Upper Miette Unit, Rocky Mountains, British Columbia, Canada",,
Ediacaran,Nama,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Vingerbreek Member, Nudaus Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Vendian,Archaeonassa,Non-specialized deposit feeder,Biomixing ,"Zimnie Gory Formation, White Sea, Russia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Balka Sandstone (=Hardeberga Formation), Bornholm, Denmark",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Basal Quartzite Member, Eriboll Formation, Ardvreck Group, northwest Scotland",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Blanc-Sablon Member, Bradore Formation, Labrador, Qubec and Newfoundland, Canada",,
Terreneuvian,,Rosselia,Suspension feeder / non-specialized despoit feeder,Bioirrigation,"Børglum Formation, eastern north Greenland",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Boya Formation, Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Cerro Rajón Formation, Sonora, Mexico",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Chickies Quartzite, Pennsylvania, United States",,
Terreneuvian,,Lingulichnus,Suspension feeder,Bioirrigation,"Crow Head Member, Bradore Formation, Labrador, Quebec and Newfoundland, Canada",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Crow Head Member, Bradore Formation, Labrador, Quebec and Newfoundland, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Dolkraals Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Geertsen Canyon Quartzite, Utah, United States",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Guachos Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Hampton Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Syringomorpha,Microbial grazer,Bioirrigation,"Hardeberga Quartzite, Hardeberga quarry, east of Lund, Scania, south-central Sweden",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Kalk Gat Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Karatau Member, Chulaktau Formation, Malyi Karatau area, southeastern Kazakhstan",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Khmelnitski Formation, Podolian Dniester region, Ukraine",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Klipbak Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Kocayayla Group (near the contact between the Celiloglu and Gögebakan formations), Sandikli region, Turkey",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Kotuszów Member, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Kreyrivier Member, Nomtsas Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Terreneuvian,,Oichnus,Predator,Bioirrigation,"Kulpara Limestone, Yorke Peninsula, south Australia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"L'Anse-au-Clair Member, Bradore Formation, Labrador, Quebec and Newfoundland, Canad",,
Terreneuvian,,Conichnus,Suspension feeder,Bioirrigation,"L'Anse-au-Clair Member, Bradore Formation, Labrador, Quebec and Newfoundland, Canada",,
Terreneuvian,,Laevicyclus,Suspension feeder/predator,Bioirrigation,"L'Anse-au-Clair Member, Bradore Formation, Labrador, Quebec and Newfoundland, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Lontova Formation, Latvia and Estonia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lontova Formation, Latvia and Estonia",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Lower interval, Dividalen Group, East of Kilpisjärvi, northern Finland",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Lower interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Thalassinoides,Non-specialized deposit feeder / predator,Bioirrigation,"Lower Phosphate unit, Zhongyicun Member, Zhijiaqing Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower Phosphate unit, Zhongyicun Member, Zhijiaqing Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Lower Siltstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower Siltstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Lower unit, Rio Huso Group, Valdelacasa anticline, Toledo Mountains, Spain",,
Terreneuvian,,Trypanites,Suspension feeder,Bioirrigation,"Lükati Formation, Kopli quarry, Tallinn, Estonia",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Mazowsze Formation, Southern Lublin region, southeastern Poland",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Mazowsze Formation, Southern Lublin region, southeastern Poland",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Member 1, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 1, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Conichnus,Suspension feeder,Bioirrigation,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Member 5, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 5, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Laevicyclus,Suspension feeder/predator,Bioirrigation,"Middle Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Middle Member, Deep Spring Formation, White-Inyo Mountains, California, United States",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Middle Member, Ibor Group, Ibor anticline, Toledo Mountains, Spain",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Nadok Ore Member, Såvvovare Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Nichols Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Osiek Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Ovishi Formation, Latvia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Parasequence 3, Lower Member, Wood Canyon Formation, California and Nevada, United States",,
Terreneuvian,,Oichnus,Predator,Bioirrigation,"Pestrotsvet Formation, Ulakhan-Sulugur, Aldan River, Russia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Pipe Rock Member, Eriboll Formation, Ardvreck Group, northwest Scotland",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Razaima Formation, southeastern Amazon Craton, Brazil",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Ringsaker Quartzite Member, Vangsås Formation, Mjøsa area, south-east Norway",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Rosenhof Member, Gros Aub Formation, Fish River Subgroup, Nama Group, southern Namibia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Salib Formation, Southern Desert, Jordan",,
Terreneuvian,,Rosselia,Suspension feeder / non-specialized despoit feeder,Bioirrigation,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
