Period,Stage,Ichnogenera,Feeding_behavior,Bioturbation_behavior,Stratigraphic_unit,Source,Source_doi
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Spitskop Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Stelkuz Formation (above disconformity), Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Stofkraal Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Tintic Quartzite, Utah, United States",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Tiskre Formation, St Petersburg region, Russia and Estonia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Unnamed, Měnin Borehole, southern Moravia, Czech Republic",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Upper Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Upper Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Upper interval, Dividalen Group, Imobekken and Voullenjoaski, northern Norway",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Laevicyclus,Suspension feeder/predator,Bioirrigation,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Upper interval, Maiva Member, Såvvovare Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Upper interval, Maneting Formation, Pele La Group, Tang chu – Wachi La area, Bhutan",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Upper interval, Uratanna Formation, Flinders Ranges, Arrowie Basin, south Australia",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Upper Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Upper Member, Chuskuna Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Skolithos,Suspension feeder,Bioirrigation,"Upper Member, Chuskuna Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Upper Member, Chuskuna Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Upper Sandstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Phycodes,Specialized deposit feeder,Bioirrigation,"Upper Sandstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Vampire Formation, Mackenzie Mountains, Northwest Territories and Yukon, Canada",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Voosi Formation, Estonia",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Winulta Formation, Stansbury Basin, south Australia",,
Terreneuvian,,Gyrolithes,Specialized deposit feeder,Bioirrigation,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Yuhucun Formation, Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Zamnarib Member, Nababis Formation, Fish River Subgroup, Nama Group, southern Namibia",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Balka Sandstone (=Hardeberga Formation), Bornholm, Denmark",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Boya Formation, Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Campanario Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Astropolichnus,Suspension feeder,Bioirrigation,"Embid Formation, Cadenas Ibéricas, Iberian Chains, Spain",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Embid Formation, Cadenas Ibéricas, Iberian Chains, Spain",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Hardeberga Quartzite, Hardeberga quarry, east of Lund, Scania, south-central Sweden",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Jee’s Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Khmelnitski Formation, Podolian Dniester region, Ukraine",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Kocayayla Group (near the contact between the Celiloglu and Gögebakan formations), Sandikli region, Turkey",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Lower Siltstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Astropolichnus,Suspension feeder,Bioirrigation,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Member 3, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Member 3, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Member 5, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Nichols Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Parachilna Formation, Flinders Ranges, Arrowie Basin, south Australia",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Park Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Razaima Formation, southeastern Amazon Craton, Brazil",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Razaima Formation, southeastern Amazon Craton, Brazil",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Ringsaker Quartzite Member, Vangsås Formation, Mjøsa area, south-east Norway",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Tiskre Formation, St Petersburg region, Russia and Estonia",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Tuttle Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Unnamed, Měnin Borehole, southern Moravia, Czech Republic",,
Terreneuvian,,Altichnus,Suspension feeder,Bioirrigation,"Upper interval, Dividalen Group, Imobekken and Voullenjoaski, northern Norway",,
Terreneuvian,,Arenicolites,Suspension feeder,Bioirrigation,"Upper interval, Dividalen Group, Imobekken and Voullenjoaski, northern Norway",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Upper interval, Dividalen Group, Imobekken and Voullenjoaski, northern Norway",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Diplocraterion,Suspension feeder,Bioirrigation,"Winulta Formation, Stansbury Basin, south Australia",,
Terreneuvian,,Bergaueria,Suspension feeder,Bioirrigation,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Balka Sandstone (=Hardeberga Formation), Bornholm, Denmark",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Cylinrichnus,Predator,Biomixing,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Bastion Formation, northeast Greenland",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Rhizocorallium,Non-specialized deposit feeder,Biomixing,"Bayan Gol Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Belleveau Formation, Deville Group, Stavelot Massif, Ardennes Inlier, Belgium",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Besonderheid Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Blackbone Ranges Formation, Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Blanmont Formation, Brabant Massif, Belgium",,
Terreneuvian,,Gordia,Non-specalized deposit feeder,Biomixing,"Blow Me Down Brook Formation, Newfoundland, Canada",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Blow Me Down Brook Formation, Newfoundland, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Blow Me Down Brook Formation, Newfoundland, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Boya Formation, Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Boya Formation, Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Cerro Rajón Formation, Sonora, Mexico",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Cerro Rajón Formation, Sonora, Mexico",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Cooper Mine Range Beds, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Cooper Mine Range Beds, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Cooper Mine Range Beds, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Dolkraals Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Dolkraals Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"El Jagüelito Formation, Rio Negro Province, Patagonia, Argentina",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"El Jagüelito Formation, Rio Negro Province, Patagonia, Argentina",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Embid Formation, Cadenas Ibéricas, Iberian Chains, Spain",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Embid Formation, Cadenas Ibéricas, Iberian Chains, Spain",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Embid Formation, Cadenas Ibéricas, Iberian Chains, Spain",,
Terreneuvian,,Ceiichnus,Non-specialized deposit feeder / pradtor,Biomixing,"Grammajukku Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Grammajukku Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Grammajukku Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Grammajukku Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Grand Pitch Formation, Maine, United States",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Guachos Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Heliochone,Specialized deposit feeder,Biomixing,"Guachos Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Guachos Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Tasmanadia,Non-specializsed deposit feeder / predator,Biomixing,"Guachos Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Hampton Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Hampton Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Hoedberg Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Huayansi Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Huayansi Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Huayansi Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Huayansi Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Diplopodichnus,Non-specalized deposit feeder/predator,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Ingta Formation (Simple Sequence 5), Mackenzie Mountains, Northwest Territories, Canada",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Jee’s Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Guanshanichnus,Specialized deposit feeder,Biomixing,"Karatau Member, Chulaktau Formation, Malyi Karatau area, southeastern Kazakhstan",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Karatau Member, Chulaktau Formation, Malyi Karatau area, southeastern Kazakhstan",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Karatau Member, Chulaktau Formation, Malyi Karatau area, southeastern Kazakhstan",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Kerrn Nesrani Formation, Rabat-Tiflet area, Morocco",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Khmelnitski Formation, Podolian Dniester region, Ukraine",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Khmelnitski Formation, Podolian Dniester region, Ukraine",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Khmelnitski Formation, Podolian Dniester region, Ukraine",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Khmelnitski Formation, Podolian Dniester region, Ukraine",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Klipbak Formation, Western and Northern Cape Provinces, South Africa",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Kocayayla Group (near the contact between the Celiloglu and Gögebakan formations), Sandikli region, Turkey",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Kocayayla Group (near the contact between the Celiloglu and Gögebakan formations), Sandikli region, Turkey",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Kotuszów Member, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Kotuszów Member, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Kotuszów Member, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Les Quatre Fils Aymon Formation, Deville Group, Rocroi Massif, Ardennes Inlier, Belgium",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Lintiss Vale Formation, Farnell Group, Barrier Range, southeast Australia",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Lontova Formation, Latvia and Estonia",,
Terreneuvian,,Dendrorhaphe,Farming,Biomixing,"Lontova Formation, Latvia and Estonia",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lontova Formation, Latvia and Estonia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Lontova Formation, Latvia and Estonia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Lower interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Lower Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lower Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Lower Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Dactyloidites,Specalized deposit feeder,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
