Period,Stage,Ichnogenera,Feeding_behavior,Bioturbation_behavior,Stratigraphic_unit,Source,Source_doi
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Lower Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Lower Phosphate unit, Zhongyicun Member, Zhijiaqing Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Lower Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Lower Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Lower Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Lower Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Lower Siltstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Mazowsze Formation, Southern Lublin region, southeastern Poland",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Mazowsze Formation, Southern Lublin region, southeastern Poland",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Member 1, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Member 1, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Allocotichnus,Non-specialized deposit feeder/predator,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Archaeonassa,Non-specialized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Gordia,Non-specalized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Protopaleodictyon,Farming,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Member 2 (above the boundary), Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Member 3, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Member 3, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Member 3, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Member 3, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Member 3, Herreria Formation, Cantabrian zone, Spain",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Member 5, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Member 5, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Protovirgularia,Non-specalized deposit feeder,Biomixing,"Member 5, Chapel Island Formation, Newfoundland, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Middle Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Middle Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Gordia,Non-specalized deposit feeder,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Middle Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Middle Member, Deep Spring Formation, White-Inyo Mountains, California, United States",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Middle Member, Ibor Group, Ibor anticline, Toledo Mountains, Spain",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Mount Wegener Formation, Shackleton Range, Antarctica",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Nagaur Sandstone, Nagaur Group, Marwar Supergroup, Rajasthan, India",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Nichols Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Nichols Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Osiek Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Ovishi Formation, Latvia",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Ovishi Formation, Latvia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Padua Formation, White Sea, Russia",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Parachilna Formation, Flinders Ranges, Arrowie Basin, south Australia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Parasequence 3, Lower Member, Wood Canyon Formation, California and Nevada, United States",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Parasequence 3, Lower Member, Wood Canyon Formation, California and Nevada, United States",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Park Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Park Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Park Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Pestrotsvetnaya Formation, southern Siberian Platform, Russia",,
Terreneuvian,,Rhizocorallium,Non-specialized deposit feeder,Biomixing,"Pestrotsvetnaya Formation, southern Siberian Platform, Russia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Platonovskaya Formation, Turukhansk Uplift, Russia",,
Terreneuvian,,Archaeonassa,Non-specialized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Asaphoidichnus,Non-specialized deposit feeder/preadtor,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Circulichnus,Non-specialized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Multina,Non-specialized deposit feeder / predator,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Pilichnus,Non-specalized deposit feeder / predator,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Tasmanadia,Non-specializsed deposit feeder / predator,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Volkichnium,Specialized deposit feeder,Biomixing,"Puncoviscana Formation, Cordillera Oriental, northwest Argentina",,
Terreneuvian,,Archaeonassa,Non-specialized deposit feeder,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Paleodictyon,Farming,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Protopaleodictyon,Farming,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Random Formation, Newfoundland, Canada",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Ratcliffe Brook Formation, New Brunswick, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Ratcliffe Brook Formation, New Brunswick, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Ratcliffe Brook Formation, New Brunswick, Canada",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Ratcliffe Brook Formation, New Brunswick, Canada",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Red and Green Siltstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Red and Green Siltstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Gordia,Non-specalized deposit feeder,Biomixing,"Rosenhof Member, Gros Aub Formation, Fish River Subgroup, Nama Group, southern Namibia",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Saint Nicolas Formation, Québec, Canada",,
Terreneuvian,,Rhizocorallium,Non-specialized deposit feeder,Biomixing,"Sandu Formation, Guangxi, Jiangnan Basin, China",,
Terreneuvian,,Archaeonassa,Non-specialized deposit feeder,Biomixing,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Shiyantou Formation, eastern Yunnan Province, Yangtze Platform, China",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Siverskaya Formation (=Blue Clay), St. Petersburg region, Russia",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Trichophcyus,Non-specialized deposit feeder,Biomixing,"Siyanshan Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"St Non’s Sandstone, Caerfai Group, Pembrokeshire, south Wales",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Stelkuz Formation (above disconformity), Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Stelkuz Formation (above disconformity), Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Stelkuz Formation (above disconformity), Cassiar Mountains, British Columbia, Canada",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Swithland Formation, Brand Group, Charnwood Forest, central England",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Tintic Quartzite, Utah, United States",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Tresaith Formation, west Wales",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Tubize Formation, Brabant Massif, Belgium",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Tuttle Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Tuttle Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Saerichnites,Non-specialized deposit feeder,Biomixing,"Tuttle Hill Member, Hartshill Formation, Brand Group, Nuneaton, central England",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Unicoi Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Unicoi Formation, Chilhowee Group, Southern Appalachians, Tennessee, United States",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Unnamed unit, Alaska, United States",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Unnamed, Měnin Borehole, southern Moravia, Czech Republic",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Upper Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Upper Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Taenidium,Non-specialized deposit feeder / predator,Biomixing,"Upper Interval, Czarna Formation, Holy Cross Group, Holy Cross Mountains, southern Poland",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Upper interval, Dividalen Group, Imobekken and Voullenjoaski, northern Norway",,
Terreneuvian,,Alcyonidiopsis,Specialized deposit feeder,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Archaeonassa,Non-specialized deposit feeder,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Cochlichnus,Non-specalized deposit feeder,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Diplopodichnus,Non-specalized deposit feeder/predator,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Gordia,Non-specalized deposit feeder,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Upper interval, Julia Member, Torreárboles Formation, Sierra de Córdoba, Ossa Morena, Spain",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Upper interval, Maiva Member, Såvvovare Formation, Laisvall-Storuman area, northern Sweden",,
Terreneuvian,,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Upper interval, Maneting Formation, Pele La Group, Tang chu – Wachi La area, Bhutan",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Upper Interval, Upper Shale Member, Soltanieh Formation, Alborz Mountains, Iran",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Upper interval, Uratanna Formation, Flinders Ranges, Arrowie Basin, south Australia",,
Terreneuvian,,Rhizocorallium,Non-specialized deposit feeder,Biomixing,"Upper Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Teichichnus,Non-specialized deposit feeder,Biomixing,"Upper Member, Breivik Formation, Vestertana Group, Tanafjord, Finnmark, northern Norway",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Upper Member, Chuskuna Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Oldhamia,Undermat miner,Biomixing,"Upper Member, Chuskuna Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Upper Member, Chuskuna Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Upper Member, Deep Spring Formation, White-Inyo Mountains, California, United States",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Gordia,Non-specalized deposit feeder,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Multina,Non-specialized deposit feeder / predator,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Upper Member, Syhargalakh Formation, Kessyusa Group, Olenek Uplift and Lena-Anabar Basin, Russia",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Upper Sandstone Member, Torneträsk Formation, Dividalen Group, Torneträsk area, northern Sweden",,
Terreneuvian,,Cruziana,Non-specialized deposit feeder,Biomixing,"Vampire Formation, Mackenzie Mountains, Northwest Territories and Yukon, Canada",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Vampire Formation, Mackenzie Mountains, Northwest Territories and Yukon, Canada",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Vampire Formation, Mackenzie Mountains, Northwest Territories and Yukon, Canada",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Voosi Formation, Estonia",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Winulta Formation, Stansbury Basin, south Australia",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Włodawa Formation, Southern Lublin region, southeastern Poland",,
Terreneuvian,,Curvolithos,Predator,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Helminthoidichnites,Non-specalized deposit feeder,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Palaeophycus,Suspension feeder / predator,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Psammichnites,Specialized deposit feeder,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Rhizocorallium,Non-specialized deposit feeder,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Trichophcyus,Non-specialized deposit feeder,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Zoophycos,Farming,Biomixing,"Yangliugang Formation, Jiangshan, Zhejiang Province, Jiangnan Slope belt, China",,
Terreneuvian,,Planolites,Non-specialized deposit feeder,Biomixing,"Yanks Peak Formation, Cariboo Mountains, British Columbia, Canada",,
Terreneuvian,,Archaeonassa,Non-specialized deposit feeder,Biomixing,"Zamnarib Member, Nababis Formation, Fish River Subgroup, Nama Group, southern Namibia",,